school,latitude,longitude,pct_over_obese
New Rochelle City Schools,40.9198,-73.7872,37
Ulster,41.848374,-74.099412,37
South Jefferson Central School,43.8591,-76.0066,37
Edmeston Central School,42.699,-75.2448,37
Wyandanch Union Free School,40.7462,-73.365,37
Islip Union Free School,40.728,-73.2214,37
Broome,42.122015,-75.933191,37
Cortland,42.597101,-76.143291,37
Warren,43.403024,-73.716044,37
Royalton Hartland Cent Sch,43.2127,-78.4687,37
Solvay Union Free School,43.0601,-76.2144,37
Jefferson Central School,42.4816,-74.6106,37
Fulton,43.06014,-74.331296,37
Cuba-Rushford Central School District,42.2385,-78.2748,37
Cortland City Schools,42.5885,-76.18,37
Poughkeepsie City Schools,41.693,-73.9172,37
West Hempstead U F S,40.6973,-73.6522,37
Fulton City Schools,43.3223,-76.412,37
Gouverneur Central School,44.3407,-75.4655,37
Chemung,42.116644,-76.812331,37
Northeastern Clinton Central School,44.9907,-73.4134,37
Batavia City Schools,43.001,-78.1863,37
Gilbertville-Mt Upton Csd,42.4419,-75.3457,37
Center Moriches U F Sch,40.8005,-72.799,37
Fallsburgh Central School,41.7326,-74.6113,37
Ulster,41.848374,-74.099412,37
Valley Str Hemp24 U F S,40.6539,-73.6921,37
Watkins Glen Central School,42.3751,-76.8666,37
Longwood Central School District,40.8773,-72.9413,37
Elba Central School,43.0753,-78.188,37
Silver Creek Central School District,42.5341,-79.1667,37
Gates Chili Central School,43.1604,-77.7092,37
Richfld Springs Cent Sch,42.8542,-74.9906,37
Sachem Cent Sch At Holbrook,40.8119,-73.0847,37
Cattaraugus,42.224267,-78.606673,37
Binghamton City School District,42.0989,-75.9044,36
Madison Central School,42.8982,-75.5158,36
Florida Union Free School,41.3334,-74.3576,36
Corinth Central School,43.2425,-73.8271,36
Springs Union Free School,41.0174,-72.1569,36
Johnsburg Central School,43.6939,-73.9843,36
Forestville Central School District,42.4676,-79.181,36
Johnstown City Schools,43.0202,-74.3716,36
Oneida,43.149482,-75.361773,36
Plattsburgh City School District,44.6948,-73.4594,36
Holley Central School,43.2329,-78.0269,36
Washington,43.289513,-73.454761,36
Camden Central School,43.3378,-75.7459,36
Central Square Central School,43.285,-76.1458,36
Seneca,42.833627,-76.82753,36
Portville Central School District,42.0344,-78.3317,36
Greene,42.298326,-73.973376,36
Chautauqua Lake Central School District,42.2585,-79.5111,36
North Tonawanda City Schools,43.0408,-78.8757,36
Wyoming,42.723641,-78.204473,36
Oxford Acad&Cent School,42.4409,-75.5961,36
Lake Placid Central School,44.2812,-73.9885,36
Corning Painted Post Area School District,42.1608,-77.0948,36
Hudson Falls Central School,43.2834,-73.5815,36
Delhi Central School District,42.2737,-74.9163,36
Thousand Islands Central School,44.191,-76.199,36
Wilson Central School,43.3059,-78.8262,36
Oriskany Central School,43.1619,-75.3419,36
Liberty Central School District,41.8053,-74.7535,36
Oakfield Alabama Central School,43.074,-78.2811,36
East Rockaway U F S,40.6459,-73.659,36
Schuylerville Central School,43.1041,-73.5804,36
Brookhaven-Comsewogue Union Free School District,40.9174,-73.0677,36
Waterloo Central School,42.8964,-76.8626,36
Ontario,42.894571,-77.252045,36
Cassadaga Valley Central School District,42.2583,-79.2827,35
Brocton Central School District,42.3848,-79.4529,35
Catskill Central School,42.22,-73.8695,35
Valley Cent Sch-Montgomery,41.5255,-74.189,35
Galway Central School,43.0223,-74.0326,35
Orange,41.422459,-74.241929,35
Wyoming,42.723641,-78.204473,35
Cattaraugus-Little Valley Csd,42.3343,-78.862,35
Cincinnatus Central School District,42.5429,-75.896,35
Sidney Central School District,42.3045,-75.3892,35
Cobleskill-Richmondville Csd,42.6807,-74.4927,35
Middle Country Central School District,40.8732,-73.091,35
Dryden Central School,42.4986,-76.311,35
Monroe,43.161748,-77.620143,35
Sharon Springs Central School,42.7898,-74.6242,35
West Babylon Union Free School,40.7044,-73.3456,35
East Quogue Union Free  School,40.8463,-72.5858,35
Roxbury Central School District,42.286,-74.5643,35
South Kortright Central School District,42.352,-74.6997,35
Alden Central School,42.903,-78.4961,35
Westmoreland Central School,43.1135,-75.4035,35
So Orangetown Cent Sch,41.0617,-73.971,35
Schoharie Central School,42.6669,-74.3088,35
North Babylon Union Free School,40.7232,-73.3251,35
Genesee,43.000121,-78.172679,35
Rensselaer,42.70098,-73.628669,35
Wellsville Central School District,42.1184,-77.9487,35
Walton Central School District,42.1609,-75.1239,35
Gloversville Enlarged School District,43.054,-74.3624,35
Mount Vernon City Schools,40.9163,-73.8251,35
Allegany,42.226801,-78.020567,35
Carmel Central School,41.5081,-73.6064,35
East Greenbush Central School,42.6005,-73.7064,35
Essex,44.166026,-73.685145,35
Tompkins,42.461024,-76.478784,35
Ausable Valley Central School,44.4667,-73.576,35
Cheektowga-Maryvale Union Free Scool,42.9333,-78.7501,35
Seaford Union Free School,40.6855,-73.4856,35
Lawrence Union Free School,40.6109,-73.7353,35
Waterville Central School,42.9261,-75.3932,35
Newburgh Enlarged City School District,41.5036,-74.0097,35
Brewster Central School,41.4375,-73.6069,35
Columbia,42.276913,-73.682168,35
Cortland,42.597101,-76.143291,35
Madison,42.986917,-75.720031,35
Rockland,41.127287,-74.017033,35
Yorkshire-Pioneer Central School District,42.5247,-78.4646,35
Holland Patent Central School,43.2433,-75.2546,35
Nanuet Union Free School,41.0896,-74.0047,35
Lewis,43.785537,-75.446296,35
Tioga,42.120252,-76.29595,35
Depew Union Free School,42.9038,-78.6922,35
North Syracuse Central School,43.1227,-76.1444,35
Morristown Central School,44.5868,-75.6476,35
Owego Apalachin Central School,42.1103,-76.2704,35
Erie,42.888143,-78.795544,35
Akron Central School,43.023,-78.4931,34
Greece Central School,43.2238,-77.6639,34
Honeoye Central School,42.7897,-77.5036,34
Spencer Van Etten Central School,42.2096,-76.4934,34
Schoharie,42.643426,-74.434606,34
Union-Endicott Central School District,42.0973,-76.0513,34
Lackawanna City Schools,42.8257,-78.8104,34
Suffolk,40.820237,-73.119032,34
Town Of Webb Union Free School,43.7408,-74.8993,34
Phelps-Clifton Springs Central School,42.961,-77.0964,34
Canton Central School,44.6056,-75.1678,34
Essex,44.166026,-73.685145,34
Broadalbin-Perth Central Schools,43.0582,-74.1888,34
Glens Falls City Schools,43.3104,-73.6599,34
Harpursville Central School District,42.1817,-75.6229,34
Horseheads Central School District,42.167,-76.8261,34
Elmira Heights Central School District,42.1224,-76.8244,34
Millbrook Central School,41.7829,-73.6902,34
Schalmont Cent Sch-Rotterdam,42.7878,-73.9922,34
Niagara,43.134634,-78.856419,34
Warren,43.403024,-73.716044,34
Albany,42.678066,-73.814233,34
Steuben,42.270053,-77.324618,34
Fredonia Central School District,42.4495,-79.3105,34
Brockport Central School,43.208,-77.9459,34
Haverstraw-Stoney Point Csd,41.211,-73.9932,34
Potsdam Central School,44.674,-74.9818,34
Suffolk,40.820237,-73.119032,34
Le Roy Central School,42.9777,-77.987,34
Tully Central School,42.7965,-76.1104,34
Minisink Valley Central School,41.3874,-74.5075,34
Cherry Valley Springfield Cent School,42.8144,-74.7703,34
So Glens Falls Cent Sch,43.2731,-73.6479,34
Queensbury Union Free School,43.3294,-73.6913,34
South Colonie Central School District,42.7316,-73.8394,34
Mineola Union Free School,40.7471,-73.6406,34
Oneonta City Schools,42.4539,-75.0626,34
Albany City School District,42.6535,-73.7547,33
Olean City Schools,42.0815,-78.4344,33
Pine Bush Central School,41.6013,-74.3067,33
Hornell City Schools,42.3265,-77.6545,33
Jefferson,44.019295,-75.898971,33
Cleveland Hill Union Free School,42.9417,-78.7831,33
Ticonderoga Central School,43.8417,-73.4281,33
Poland Central School,43.2279,-75.0593,33
Geneseo Central School,42.8113,-77.8056,33
Wheatland Chili Central School,43.026,-77.7496,33
Sauquoit Valley Central,42.9885,-75.2537,33
Rotterdam-Mohonasen,42.7752,-73.9531,33
Bay Shore Union Free School,40.7332,-73.2534,33
North Warren Central School,43.6639,-73.7856,33
Dutchess,41.686216,-73.840468,33
Schenectady,42.809233,-73.946838,33
Putnam Valley Central School,41.3372,-73.8602,33
Huntington Union Free School,40.8558,-73.4169,33
Genesee Valley Central School,42.2319,-77.986,33
Panama Central School District,42.0779,-79.4836,33
Syracuse City Schools,43.0444,-76.1412,33
Middleburgh Central School,42.5922,-74.3245,33
Saratoga,43.00894,-73.786779,33
Watertown City Schools,43.9569,-75.9144,33
Mechanicville City Schools,42.9015,-73.6994,33
So. Huntington School District,40.8222,-73.4132,33
Yates,42.634338,-77.078311,33
North Bellmore U F S,40.6744,-73.5323,33
Rondout Valley Central School,41.8235,-74.2416,33
Cambridge Central School,43.0211,-73.376,33
Palmyra-Macedon Central School,43.0579,-77.2447,33
Williamson Central School,43.2216,-77.1823,33
Broome,42.122015,-75.933191,33
Rockland,41.127287,-74.017033,33
Pine Plains Central School District,41.9811,-73.6631,33
Baldwin Union Free School,40.6361,-73.6054,33
Connetquot Cent Sch Of Islip,40.7602,-73.1179,33
Rensselaer,42.70098,-73.628669,33
Springville-Griff Inst Central School,42.5168,-78.6561,33
U F S Of The Tarrytowns,41.0829,-73.859,33
Keshequa Central School District,42.5794,-77.9417,33
Bayport Blue Pt U F Sch,40.7416,-73.0562,33
Yonkers City Schools,40.9354,-73.8995,33
Onondaga,43.065629,-76.168033,33
Amherst Central School,42.9565,-78.7922,33
Baldwinsville Central School,43.1625,-76.3307,33
Schoharie,42.643426,-74.434606,33
Union Springs Central School District,42.8508,-76.6912,32
Chautauqua,42.246904,-79.315313,32
Tioga,42.120252,-76.29595,32
Cheektowaga-Sloan Union Free School,42.8952,-78.7943,32
Elmont Union Free School,40.7064,-73.7106,32
Lyndonville Central School,43.3237,-78.394,32
Livingston,42.763754,-77.765392,32
Onondaga,43.065629,-76.168033,32
Greenville Central School,42.4151,-74.028,32
South Lewis Central School,43.6382,-75.3975,32
Lisbon Central School,44.7231,-75.323,32
Candor Central School,42.2276,-76.3379,32
White Plains City Schools,41.0074,-73.7336,32
Orange,41.422459,-74.241929,32
Peru Central School,44.5821,-73.5333,32
Red Hook Central School,41.991,-73.8801,32
Romulus Central School,42.7478,-76.8341,32
Onteora Central School,42.0095,-74.2685,32
Putnam,41.41131,-73.717443,32
Chenango Forks Central School District,42.1925,-75.8535,32
Jamestown City School District,42.0774,-79.221,32
Arlington Central School District,41.6985,-73.8821,32
Kenmore-Tonawanda Union Free School District,42.982,-78.859,32
West Seneca Central School,42.8127,-78.7642,32
Island Park Union Free School,40.6077,-73.6471,32
Stillwater Central School,42.949,-73.6438,32
South Country Central School,40.7503,-72.9681,32
Albany,42.678066,-73.814233,32
Monroe,43.161748,-77.620143,32
Putnam,41.41131,-73.717443,32
Homer Central School District,42.6305,-76.1919,32
Hewlett Woodmere Public Schools,40.6332,-73.7061,32
West Genesee Csd At Camillus,43.046,-76.268,32
Gananda Central School,43.1247,-77.3079,32
Montgomery,42.933637,-74.341972,32
Wappingers Central School,41.6002,-73.8794,32
Carthage Central School,44.0323,-75.7191,32
Nassau,40.715749,-73.601185,32
Otsego,42.564852,-75.060334,32
Frontier Central School,42.7478,-78.8994,32
East Irondequoit Central School,43.1871,-77.5535,32
Lakeland Central School District,41.3296,-73.8282,32
Falconer Central School District,42.1227,-79.1942,32
Wallkill Central School,41.6057,-74.1825,32
Attica Central School,42.8618,-78.2603,31
Chemung,42.116644,-76.812331,31
Beacon City Schools,41.4964,-73.9717,31
Marcellus Central School,42.9868,-76.3412,31
Hammond Central School,44.4461,-75.6963,31
Fulton,43.06014,-74.331296,31
Franklin Sq U F S,40.7117,-73.6685,31
Star Point Central School,43.123,-78.808,31
Ogdensburg City Schools,44.689,-75.486,31
Jasper-Troupsburg Cent School,42.1242,-77.5058,31
Nassau,40.715749,-73.601185,31
Spencerport Central School,43.1887,-77.7908,31
Churchville Chili Central School,43.1203,-77.8285,31
Southampton Union Free School,40.8904,-72.3795,31
Groton Central School,42.5805,-76.3696,31
Franklinville Central School District,42.3396,-78.4572,31
Mount Morris Central School,42.7141,-77.873,31
Eastport South Manor Central School,40.8391,-72.8309,31
Waverly Central School,42.0127,-76.5307,31
Fonda Fultonville Central School,42.9589,-74.3703,31
Caledonia Mumford Cent Sch,42.9823,-77.8568,31
Wantagh Union Free School,40.6892,-73.5168,31
Naples Central School,42.6179,-77.4011,31
Scotia Glenville Cent Sch,42.8345,-73.9793,31
East Moriches U F Sch,40.8027,-72.764,31
Chenango Valley Central School District,42.1677,-75.8742,31
Mahopac Central School,41.3772,-73.7291,31
Ontario,42.894571,-77.252045,31
West Canada Valley Cent Sch,43.1636,-75.0016,31
Indian River Central School,44.1403,-75.7101,31
Pearl River Union Free School,41.0602,-74.0097,31
Southern Cayuga Central School District,42.7342,-76.6179,30
Avon Central School District,42.908,-77.7401,30
East Islip Union Free School,40.7447,-73.1842,30
Erie,42.888143,-78.795544,30
Otsego,42.564852,-75.060334,30
Liverpool Central School,43.1406,-76.225,30
Livingston Manor Cent Sch,41.9035,-74.8273,30
Sweet Home Central School,43.0125,-78.7992,30
Goshen Central School,41.4043,-74.3198,30
Averill Park Central School,42.6382,-73.5427,30
Chatham Central School District,42.3589,-73.6038,30
Tonawanda City Schools,43.0114,-78.8971,30
Schodack Central School,42.5243,-73.712,30
Hendrick Hudson Central School,41.2519,-73.9381,30
Tompkins,42.461024,-76.478784,30
Bemus Point Central School District,42.1491,-79.3455,30
Kinderhook Central School District,42.4239,-73.6867,30
Buffalo City Schools,42.8867,-78.879,30
Kings Park Central School,40.8886,-73.241,30
Taconic Hills Central School,42.1712,-73.6033,30
Eden Central School,42.6606,-78.8745,30
Windham-Ashland Central School,42.3073,-74.2548,30
Valley Str Hemp 13 U F S,40.6818,-73.6893,30
Carle Place Union Free School,40.7541,-73.6057,30
Westhampton Beach U F S,40.8174,-72.6514,30
Bethpage Union Free School,40.7559,-73.4847,30
New Paltz Central School,41.7458,-74.0783,30
Letchworth Cent Sch At Gainesville,42.6301,-78.1154,30
Berne Knox Westerlo Central School District,42.6253,-74.1435,30
Hinsdale Central School District,42.1566,-78.3965,30
Babylon Union Free School,40.6994,-73.3266,30
Westchester,41.039278,-73.805386,30
New Lebanon Central School District,42.4757,-73.3798,30
Holland Central School,42.6444,-78.5417,30
Pembroke Central School,42.9597,-78.408,30
Clinton Central School,43.0493,-75.3818,30
Skaneateles Central School,42.95,-76.4252,29
Washingtonville Central School,41.4245,-74.1721,29
Amsterdam City Schools,42.9357,-74.1893,29
East Syracuse-Minoa Central School,43.0664,-76.0309,29
Onondaga Central School,42.9306,-76.2056,29
Worcester Central School,42.5915,-74.7511,29
Highland Central School,41.725,-74.0111,29
Argyle Central School,43.2402,-73.485,29
Greenwood Lake Union Free School,41.2671,-74.2601,29
Spackenkill Union Free School,41.6609,-73.9238,29
Hicksville Union Free School,40.7578,-73.5253,29
Sayville Union Free School,40.74,-73.0884,29
Roscoe Central School,41.9347,-74.9162,29
East Rochester U F S,43.1085,-77.4917,29
Pawling Central School District,41.5598,-73.5944,29
Whitesboro Central School,43.1153,-75.2745,29
Greenwich Central School,43.0931,-73.4974,29
Penfield Central School,43.1537,-77.4945,29
East Bloomfield Center School,42.8998,-77.4265,29
Mt Pleasant Central School,41.1166,-73.7714,29
Lansing Central School,42.5428,-76.5326,29
Greene Central School District,42.3265,-75.7751,29
Plainedge Ufsd,40.6992,-73.4766,29
Sandy Creek Central School,43.6461,-76.077,29
Clarkstown Central School,41.1259,-74.0043,29
Farmingdale Union Free School,40.7324,-73.4396,29
Maine Endwell Central School District,42.1281,-76.0238,28
Mcgraw Central School District,42.5918,-76.0955,28
Lancaster Central School,42.9079,-78.6717,28
Levittown Union Free School,40.7186,-73.5115,28
Cornwall Central School District,41.4459,-74.0171,28
North Colonie Central School District,42.7289,-73.7481,28
Allegany,42.226801,-78.020567,28
Westchester,41.039278,-73.805386,28
Guilderland Central School District,42.6921,-73.8954,28
Chateaugay Central School,44.9295,-74.0803,28
New Hartford Central School,43.0701,-75.2867,28
Miller Place Union Free School,40.9414,-72.9917,28
Lowville Central School,43.7891,-75.4944,28
Clarence Central School,42.9732,-78.6316,28
Monroe Woodbury Central School,41.329,-74.1213,28
Williamsville Central School,43.0242,-78.7332,28
East Meadow Union Free School,40.7431,-73.5704,28
Indian Lake Central School,43.7764,-74.277,28
Oceanside Union Free School,40.643,-73.6343,28
Mount Sinai Union Free School,40.9425,-73.0245,28
Bainbridge Guilford Central School District,42.2934,-75.4846,28
Commack Union Free School,40.8688,-73.293,28
Saratoga,43.00894,-73.786779,28
Bethlehem Central School District,42.6203,-73.8345,28
Frewsburg Central School District,42.0542,-79.1604,28
Gilboa Conesville Cent Sch,42.3927,-74.4414,28
Shelter Island U F S,41.0682,-72.339,28
Rockville Centre U F S,40.667,-73.6229,27
Oyster Bay-East Norwich Central School,40.8712,-73.5255,27
Rocky Point Union Free School,40.9448,-72.9531,27
Elwood Union Free Sch,40.8573,-73.3404,27
Lake George Central School,43.4284,-73.7122,27
Yorktown Central School,41.2948,-73.8023,27
Haldane Cent Sch Of Philipstwn,41.4213,-73.9566,27
Duanesburg Central School,42.7489,-74.1872,27
Valhalla Union Free School,41.0927,-73.778,27
Saranac Lake Central School,44.3266,-74.1412,27
Chittenango Central School,43.0872,-75.8767,27
Burnt Hills Ballston Lake Cent,42.878,-73.9432,27
Ithaca City Schools,42.4533,-76.4951,27
Somers Central School,41.3378,-73.6752,27
Westport Central School District,44.1856,-73.4446,27
Merrick Union Free School,40.6527,-73.5526,27
North Shore Central School,40.8467,-73.6421,27
Pine Valley Cent School District-S Dayton,42.3317,-79.0906,27
General Brown Central School,44.0135,-76.019,27
Long Beach City Schools,40.588,-73.6284,27
Schenevus Central School,42.5496,-74.8184,27
Harborfields Central School,40.8724,-73.3799,27
Dundee Central School,42.5263,-76.9771,27
Bellmore Union Free School,40.6653,-73.5254,27
Rush Henrietta Central School,43.0595,-77.596,26
