LOCATION CODE,COUNTY,AREA NAME,REGION,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
251101,MADISON,Madison Central School,CENTRAL NEW YORK,18,16.40%,22,20%,40,36.40%,SCHOOL DISTRICT,7303 RT 20,MADISON,NY,13402,"(42.8982, -75.5158)"
442115,ORANGE,Florida Union Free School,HUDSON VALLEY,26,21.50%,18,14.90%,44,36.40%,SCHOOL DISTRICT,51 N MAIN ST,FLORIDA,NY,10921,"(41.3334, -74.3576)"
520401,SARATOGA,Corinth Central School,NORTHEASTERN NEW YORK,26,16%,33,20.40%,59,36.40%,SCHOOL DISTRICT,105 OAK ST,CORINTH,NY,12822,"(43.2425, -73.8271)"
580304,SUFFOLK,Springs Union Free School,NASSAU-SUFFOLK,32,14.20%,50,22.20%,82,36.40%,SCHOOL DISTRICT,48 SCHOOL ST,EAST HAMPTON,NY,11937,"(41.0174, -72.1569)"
630601,WARREN,Johnsburg Central School,NORTHEASTERN NEW YORK,11,14.30%,17,22.10%,28,36.40%,SCHOOL DISTRICT,165 MAIN ST,NORTH CREEK,NY,12853,"(43.6939, -73.9843)"
61503,CHAUTAUQUA,Forestville Central School District,WESTERN NEW YORK,24,17.80%,25,18.50%,49,36.30%,SCHOOL DISTRICT,12 WATER ST,FORESTVILLE,NY,14062,"(42.4676, -79.181)"
170600,FULTON,Johnstown City Schools,NORTHEASTERN NEW YORK,34,17.60%,36,18.70%,70,36.30%,SCHOOL DISTRICT,1 SIR BILLS CIRCLE-STE 101,JOHNSTOWN,NY,12095,"(43.0202, -74.3716)"
41,ONEIDA,Oneida,CENTRAL NEW YORK,1058,16.70%,1238,19.60%,2296,36.30%,COUNTY,,,,,"(43.149482, -75.361773)"
91200,CLINTON,Plattsburgh City School District,NORTHEASTERN NEW YORK,67,17.30%,73,18.90%,140,36.20%,SCHOOL DISTRICT,49 BROAD ST,PLATTSBURGH,NY,12901,"(44.6948, -73.4594)"
450704,ORLEANS,Holley Central School,WESTERN NEW YORK,33,12.70%,61,23.50%,94,36.20%,SCHOOL DISTRICT,3800 N MAIN ST,HOLLEY,NY,14470,"(43.2329, -78.0269)"
64,WASHINGTON,Washington,NORTHEASTERN NEW YORK,272,17.20%,302,19.10%,574,36.20%,COUNTY,,,,,"(43.289513, -73.454761)"
200000,N/A,Finger Lakes,FINGER LAKES,3924,16.70%,4569,19.50%,8493,36.20%,REGION,,,,,
410601,ONEIDA,Camden Central School,CENTRAL NEW YORK,85,18.70%,79,17.40%,164,36.10%,SCHOOL DISTRICT,51 THIRD ST,CAMDEN,NY,13316,"(43.3378, -75.7459)"
460801,OSWEGO,Central Square Central School,CENTRAL NEW YORK,101,17.20%,111,18.90%,212,36.10%,SCHOOL DISTRICT,642 S MAIN ST,CENTRAL SQUARE,NY,13036,"(43.285, -76.1458)"
56,SENECA,Seneca,FINGER LAKES,144,16.20%,177,19.90%,321,36.10%,COUNTY,,,,,"(42.833627, -76.82753)"
42901,CATTARAUGUS,Portville Central School District,WESTERN NEW YORK,51,19.50%,43,16.50%,94,36%,SCHOOL DISTRICT,500 ELM ST,PORTVILLE,NY,14770,"(42.0344, -78.3317)"
19,GREENE,Greene,NORTHEASTERN NEW YORK,220,16.70%,253,19.30%,473,36%,COUNTY,,,,,"(42.298326, -73.973376)"
60503,CHAUTAUQUA,Chautauqua Lake Central School District,WESTERN NEW YORK,29,20.40%,22,15.50%,51,35.90%,SCHOOL DISTRICT,100 N ERIE ST,MAYVILLE,NY,14757,"(42.2585, -79.5111)"
400900,NIAGARA,North Tonawanda City Schools,WESTERN NEW YORK,103,14.10%,160,21.80%,263,35.90%,SCHOOL DISTRICT,175 HUMPHREY ST,NORTH TONAWANDA,NY,14120,"(43.0408, -78.8757)"
67,WYOMING,Wyoming,WESTERN NEW YORK,151,17.30%,162,18.60%,313,35.90%,COUNTY,,,,,"(42.723641, -78.204473)"
81501,CHENANGO,Oxford Acad&Cent School,NEW YORK - PENN,20,13.50%,33,22.30%,53,35.80%,SCHOOL DISTRICT,12 FORT HILL PARK,OXFORD,NY,13830,"(42.4409, -75.5961)"
151102,ESSEX,Lake Placid Central School,NORTHEASTERN NEW YORK,27,22.50%,16,13.30%,43,35.80%,SCHOOL DISTRICT,50 CUMMINGS RD,LAKE PLACID,NY,12946,"(44.2812, -73.9885)"
571000,STEUBEN,Corning Painted Post Area School District,FINGER LAKES,135,16.90%,152,19%,287,35.80%,SCHOOL DISTRICT,165 CHARLES ST,PAINTED POST,NY,14870,"(42.1608, -77.0948)"
641301,WASHINGTON,Hudson Falls Central School,NORTHEASTERN NEW YORK,69,17%,76,18.80%,145,35.80%,SCHOOL DISTRICT,1153 BURGOYNE AVE,FORT EDWARD,NY,12828,"(43.2834, -73.5815)"
600000,N/A,Northeastern New York,NORTHEASTERN NEW YORK,4059,16.60%,4681,19.20%,8740,35.80%,REGION,,,,,
120501,DELAWARE,Delhi Central School District,NORTHEASTERN NEW YORK,30,26.10%,11,9.60%,41,35.70%,SCHOOL DISTRICT,2 SHELDON DR,DELHI,NY,13753,"(42.2737, -74.9163)"
220701,JEFFERSON,Thousand Islands Central School,CENTRAL NEW YORK,32,20.40%,24,15.30%,56,35.70%,SCHOOL DISTRICT,8483 COUNTY RT 9,CLAYTON,NY,13624,"(44.191, -76.199)"
401501,NIAGARA,Wilson Central School,WESTERN NEW YORK,44,21.30%,30,14.50%,74,35.70%,SCHOOL DISTRICT,412 LAKE ST,WILSON,NY,14172,"(43.3059, -78.8262)"
412901,ONEIDA,Oriskany Central School,CENTRAL NEW YORK,22,19.10%,19,16.50%,41,35.70%,SCHOOL DISTRICT,1313 UTICA ST,ORISKANY,NY,13424,"(43.1619, -75.3419)"
590901,SULLIVAN,Liberty Central School District,HUDSON VALLEY,30,16.20%,36,19.50%,66,35.70%,SCHOOL DISTRICT,115 BUCKLEY ST,LIBERTY,NY,12754,"(41.8053, -74.7535)"
181101,GENESEE,Oakfield Alabama Central School,WESTERN NEW YORK,36,16.20%,43,19.40%,79,35.60%,SCHOOL DISTRICT,7001 LEWISTON RD,OAKFIELD,NY,14125,"(43.074, -78.2811)"
280219,NASSAU,East Rockaway U F S,NASSAU-SUFFOLK,49,19.60%,40,16%,89,35.60%,SCHOOL DISTRICT,443 OCEAN AVE,EAST ROCKAWAY,NY,11518,"(40.6459, -73.659)"
521701,SARATOGA,Schuylerville Central School,NORTHEASTERN NEW YORK,73,19%,64,16.60%,137,35.60%,SCHOOL DISTRICT,14 SPRING ST,SCHUYLERVILLE,NY,12871,"(43.1041, -73.5804)"
580203,SUFFOLK,Brookhaven-Comsewogue Union Free School District,NASSAU-SUFFOLK,113,17.30%,120,18.30%,233,35.60%,SCHOOL DISTRICT,290 NORWOOD AVE,PORT JEFFERSON STA,NY,11776,"(40.9174, -73.0677)"
561006,SENECA,Waterloo Central School,FINGER LAKES,74,18.20%,70,17.20%,144,35.50%,SCHOOL DISTRICT,109 WASHINGTON ST,WATERLOO,NY,13165,"(42.8964, -76.8626)"
43,ONTARIO,Ontario,FINGER LAKES,382,17.30%,404,18.30%,786,35.50%,COUNTY,,,,,"(42.894571, -77.252045)"
60401,CHAUTAUQUA,Cassadaga Valley Central School District,WESTERN NEW YORK,27,13.80%,42,21.50%,69,35.40%,SCHOOL DISTRICT,5935 RT 60,SINCLAIRVILLE,NY,14782,"(42.2583, -79.2827)"
62301,CHAUTAUQUA,Brocton Central School District,WESTERN NEW YORK,25,19.20%,21,16.20%,46,35.40%,SCHOOL DISTRICT,138 W MAIN ST,BROCTON,NY,14716,"(42.3848, -79.4529)"
190401,GREENE,Catskill Central School,NORTHEASTERN NEW YORK,50,16.20%,59,19.20%,109,35.40%,SCHOOL DISTRICT,343 W MAIN ST,CATSKILL,NY,12414,"(42.22, -73.8695)"
441301,ORANGE,Valley Cent Sch-Montgomery,HUDSON VALLEY,32,15.50%,41,19.90%,73,35.40%,SCHOOL DISTRICT,944 STATE RT 17K,MONTGOMERY,NY,12549,"(41.5255, -74.189)"
520701,SARATOGA,Galway Central School,NORTHEASTERN NEW YORK,15,13.30%,25,22.10%,40,35.40%,SCHOOL DISTRICT,5317 SACANDAGA RD,GALWAY,NY,12074,"(43.0223, -74.0326)"
44,ORANGE,Orange,HUDSON VALLEY,933,16.80%,1036,18.60%,1969,35.40%,COUNTY,,,,,"(41.422459, -74.241929)"
67,WYOMING,Wyoming,WESTERN NEW YORK,108,19.20%,91,16.20%,199,35.40%,COUNTY,,,,,"(42.723641, -78.204473)"
100000,N/A,Central New York,CENTRAL NEW YORK,6707,16.80%,7387,18.60%,14094,35.40%,REGION,,,,,
42302,CATTARAUGUS,Cattaraugus-Little Valley Csd,WESTERN NEW YORK,40,17%,43,18.30%,83,35.30%,SCHOOL DISTRICT,25 FRANKLIN ST N,CATTARAUGUS,NY,14719,"(42.3343, -78.862)"
110101,CORTLAND,Cincinnatus Central School District,CENTRAL NEW YORK,7,8.20%,23,27.10%,30,35.30%,SCHOOL DISTRICT,2809 CINCINNATUS RD,CINCINNATUS,NY,13040,"(42.5429, -75.896)"
121601,DELAWARE,Sidney Central School District,NORTHEASTERN NEW YORK,25,14.50%,36,20.80%,61,35.30%,SCHOOL DISTRICT,95 W MAIN ST,SIDNEY,NY,13838,"(42.3045, -75.3892)"
541102,SCHOHARIE,Cobleskill-Richmondville Csd,NORTHEASTERN NEW YORK,50,14.70%,70,20.60%,120,35.30%,SCHOOL DISTRICT,155 WASHINGTON AVE,COBLESKILL,NY,12043,"(42.6807, -74.4927)"
580211,SUFFOLK,Middle Country Central School District,NASSAU-SUFFOLK,357,18%,344,17.30%,701,35.30%,SCHOOL DISTRICT,8 43RD ST-ADM OFF,CENTEREACH,NY,11720,"(40.8732, -73.091)"
610301,TOMPKINS,Dryden Central School,CENTRAL NEW YORK,61,15.30%,80,20%,141,35.30%,SCHOOL DISTRICT,118 FREEVILLE RD,DRYDEN,NY,13053,"(42.4986, -76.311)"
26,MONROE,Monroe,FINGER LAKES,2262,16.40%,2627,19%,4889,35.30%,COUNTY,,,,,"(43.161748, -77.620143)"
541401,SCHOHARIE,Sharon Springs Central School,NORTHEASTERN NEW YORK,7,13%,12,22.20%,19,35.20%,SCHOOL DISTRICT,514 ST RT 20,SHARON SPRINGS,NY,13459,"(42.7898, -74.6242)"
580102,SUFFOLK,West Babylon Union Free School,NASSAU-SUFFOLK,111,14.20%,165,21.10%,276,35.20%,SCHOOL DISTRICT,10 FARMINGDALE RD,WEST BABYLON,NY,11704,"(40.7044, -73.3456)"
580917,SUFFOLK,East Quogue Union Free  School,NASSAU-SUFFOLK,30,21.10%,20,14.10%,50,35.20%,SCHOOL DISTRICT,6 CENTRAL AVE,EAST QUOGUE,NY,11942,"(40.8463, -72.5858)"
121502,DELAWARE,Roxbury Central School District,NORTHEASTERN NEW YORK,10,13%,17,22.10%,27,35.10%,SCHOOL DISTRICT,53729 NYS RT 30,ROXBURY,NY,12474,"(42.286, -74.5643)"
121702,DELAWARE,South Kortright Central School District,NORTHEASTERN NEW YORK,12,16.20%,14,18.90%,26,35.10%,SCHOOL DISTRICT,58200 STATE HWY 10,SOUTH KORTRIGHT,NY,13842,"(42.352, -74.6997)"
140101,ERIE,Alden Central School,WESTERN NEW YORK,55,14.70%,76,20.40%,131,35.10%,SCHOOL DISTRICT,13190 PARK ST,ALDEN,NY,14004,"(42.903, -78.4961)"
412801,ONEIDA,Westmoreland Central School,CENTRAL NEW YORK,20,17.50%,20,17.50%,40,35.10%,SCHOOL DISTRICT,5176 RT 233,WESTMORELAND,NY,13490,"(43.1135, -75.4035)"
500301,ROCKLAND,So Orangetown Cent Sch,HUDSON VALLEY,119,15.70%,147,19.40%,266,35.10%,SCHOOL DISTRICT,160 VAN WYCK RD,BLAUVELT,NY,10913,"(41.0617, -73.971)"
541201,SCHOHARIE,Schoharie Central School,NORTHEASTERN NEW YORK,11,11.70%,22,23.40%,33,35.10%,SCHOOL DISTRICT,136 ACADEMY DR,SCHOHARIE,NY,12157,"(42.6669, -74.3088)"
580103,SUFFOLK,North Babylon Union Free School,NASSAU-SUFFOLK,141,16.50%,158,18.50%,299,35.10%,SCHOOL DISTRICT,5 JARDINE PL,NORTH BABYLON,NY,11703,"(40.7232, -73.3251)"
18,GENESEE,Genesee,WESTERN NEW YORK,287,15.60%,357,19.40%,644,35.10%,COUNTY,,,,,"(43.000121, -78.172679)"
49,RENSSELAER,Rensselaer,NORTHEASTERN NEW YORK,426,15.90%,515,19.20%,941,35.10%,COUNTY,,,,,"(42.70098, -73.628669)"
22601,ALLEGANY,Wellsville Central School District,WESTERN NEW YORK,39,14.20%,57,20.80%,96,35%,SCHOOL DISTRICT,126 WEST STATE ST,WELLSVILLE,NY,14895,"(42.1184, -77.9487)"
121901,DELAWARE,Walton Central School District,NORTHEASTERN NEW YORK,40,16.50%,45,18.50%,85,35%,SCHOOL DISTRICT,47-49 STOCKTON AVE,WALTON,NY,13856,"(42.1609, -75.1239)"
170500,FULTON,Gloversville Enlarged School District,NORTHEASTERN NEW YORK,77,17%,81,17.90%,158,35%,SCHOOL DISTRICT,243 LINCOLN ST,GLOVERSVILLE,NY,12078,"(43.054, -74.3624)"
660900,WESTCHESTER,Mount Vernon City Schools,HUDSON VALLEY,207,15.30%,267,19.70%,474,35%,SCHOOL DISTRICT,165 N COLUMBUS AVE,MOUNT VERNON,NY,10553,"(40.9163, -73.8251)"
2,ALLEGANY,Allegany,WESTERN NEW YORK,160,15.90%,193,19.10%,353,35%,COUNTY,,,,,"(42.226801, -78.020567)"
0,M/A,Statewide (Excluding Nyc),STATEWIDE (EXCLUDING NYC),33004,16.80%,35719,18.20%,68723,35%,STATEWIDE (EXCLUDING NYC),,,,,
480102,PUTNAM,Carmel Central School,HUDSON VALLEY,149,16.60%,164,18.30%,313,34.90%,SCHOOL DISTRICT,81 SOUTH ST,PATTERSON,NY,12563,"(41.5081, -73.6064)"
490301,RENSSELAER,East Greenbush Central School,NORTHEASTERN NEW YORK,169,19.90%,128,15.10%,297,34.90%,SCHOOL DISTRICT,29 ENGLEWOOD AVE,EAST GREENBUSH,NY,12061,"(42.6005, -73.7064)"
15,ESSEX,Essex,NORTHEASTERN NEW YORK,78,16.30%,89,18.60%,167,34.90%,COUNTY,,,,,"(44.166026, -73.685145)"
61,TOMPKINS,Tompkins,CENTRAL NEW YORK,187,15.10%,245,19.80%,432,34.90%,COUNTY,,,,,"(42.461024, -76.478784)"
90201,CLINTON,Ausable Valley Central School,NORTHEASTERN NEW YORK,16,13.90%,24,20.90%,40,34.80%,SCHOOL DISTRICT,1273 RT 9N,CLINTONVILLE,NY,12924,"(44.4667, -73.576)"
140702,ERIE,Cheektowga-Maryvale Union Free Scool,WESTERN NEW YORK,62,16.20%,71,18.60%,133,34.80%,SCHOOL DISTRICT,1050 MARYVALE DR,CHEEKTOWAGA,NY,14225,"(42.9333, -78.7501)"
280206,NASSAU,Seaford Union Free School,NASSAU-SUFFOLK,103,20.60%,71,14.20%,174,34.80%,SCHOOL DISTRICT,1600 WASHINGTON AVE,SEAFORD,NY,11783,"(40.6855, -73.4856)"
280215,NASSAU,Lawrence Union Free School,NASSAU-SUFFOLK,55,19.20%,45,15.70%,100,34.80%,SCHOOL DISTRICT,195 BROADWAY,LAWRENCE,NY,11559,"(40.6109, -73.7353)"
411902,ONEIDA,Waterville Central School,CENTRAL NEW YORK,17,10.40%,40,24.40%,57,34.80%,SCHOOL DISTRICT,381 MADISON ST,WATERVILLE,NY,13480,"(42.9261, -75.3932)"
441600,ORANGE,Newburgh Enlarged City School District,HUDSON VALLEY,344,17.50%,341,17.30%,685,34.80%,SCHOOL DISTRICT,124 GRAND ST,NEWBURGH,NY,12550,"(41.5036, -74.0097)"
480601,PUTNAM,Brewster Central School,HUDSON VALLEY,68,14.50%,95,20.30%,163,34.80%,SCHOOL DISTRICT,30 FARM-TO-MARKET RD,BREWSTER,NY,10509,"(41.4375, -73.6069)"
10,COLUMBIA,Columbia,NORTHEASTERN NEW YORK,218,15.90%,258,18.90%,476,34.80%,COUNTY,,,,,"(42.276913, -73.682168)"
11,CORTLAND,Cortland,CENTRAL NEW YORK,211,18.40%,188,16.40%,399,34.80%,COUNTY,,,,,"(42.597101, -76.143291)"
25,MADISON,Madison,CENTRAL NEW YORK,331,16.70%,357,18.10%,688,34.80%,COUNTY,,,,,"(42.986917, -75.720031)"
50,ROCKLAND,Rockland,HUDSON VALLEY,924,19.10%,763,15.80%,1687,34.80%,COUNTY,,,,,"(41.127287, -74.017033)"
43501,CATTARAUGUS,Yorkshire-Pioneer Central School District,WESTERN NEW YORK,86,17.50%,84,17.10%,170,34.60%,SCHOOL DISTRICT,12125 COUNTY LINE RD,YORKSHIRE,NY,14173,"(42.5247, -78.4646)"
412201,ONEIDA,Holland Patent Central School,CENTRAL NEW YORK,47,19.10%,38,15.40%,85,34.60%,SCHOOL DISTRICT,9601 MAIN ST,HOLLAND PATENT,NY,13354,"(43.2433, -75.2546)"
500108,ROCKLAND,Nanuet Union Free School,HUDSON VALLEY,47,14%,69,20.60%,116,34.60%,SCHOOL DISTRICT,101 CHURCH ST,NANUET,NY,10954,"(41.0896, -74.0047)"
23,LEWIS,Lewis,CENTRAL NEW YORK,180,18.60%,154,15.90%,334,34.60%,COUNTY,,,,,"(43.785537, -75.446296)"
60,TIOGA,Tioga,NEW YORK - PENN,136,15.40%,170,19.20%,306,34.60%,COUNTY,,,,,"(42.120252, -76.29595)"
140707,ERIE,Depew Union Free School,WESTERN NEW YORK,66,16.60%,71,17.90%,137,34.50%,SCHOOL DISTRICT,591 TERRACE BLVD,DEPEW,NY,14043,"(42.9038, -78.6922)"
420303,ONONDAGA,North Syracuse Central School,CENTRAL NEW YORK,196,15.30%,245,19.20%,441,34.50%,SCHOOL DISTRICT,5355 W TAFT RD,NORTH SYRACUSE,NY,13212,"(43.1227, -76.1444)"
512101,ST. LAWRENCE,Morristown Central School,CENTRAL NEW YORK,18,20.70%,12,13.80%,30,34.50%,SCHOOL DISTRICT,408 GOUVERNEUR ST,MORRISTOWN,NY,13664,"(44.5868, -75.6476)"
600601,TIOGA,Owego Apalachin Central School,NEW YORK - PENN,51,15%,66,19.50%,117,34.50%,SCHOOL DISTRICT,36 TALCOTT ST,OWEGO,NY,13827,"(42.1103, -76.2704)"
14,ERIE,Erie,WESTERN NEW YORK,2032,16.70%,2155,17.70%,4187,34.50%,COUNTY,,,,,"(42.888143, -78.795544)"
142101,ERIE,Akron Central School,WESTERN NEW YORK,51,12.80%,86,21.60%,137,34.40%,SCHOOL DISTRICT,47 BLOOMINGDALE AVE,AKRON,NY,14001,"(43.023, -78.4931)"
260501,MONROE,Greece Central School,FINGER LAKES,344,17%,351,17.30%,695,34.30%,SCHOOL DISTRICT,750 MAIDEN LN,ROCHESTER,NY,14615,"(43.2238, -77.6639)"
431401,ONTARIO,Honeoye Central School,FINGER LAKES,23,16.40%,25,17.90%,48,34.30%,SCHOOL DISTRICT,8528 MAIN ST,HONEOYE,NY,14471,"(42.7897, -77.5036)"
600801,TIOGA,Spencer Van Etten Central School,NEW YORK - PENN,35,16.90%,36,17.40%,71,34.30%,SCHOOL DISTRICT,16 DARTTS CROSSROAD,SPENCER,NY,14883,"(42.2096, -76.4934)"
54,SCHOHARIE,Schoharie,NORTHEASTERN NEW YORK,92,12.30%,164,22%,256,34.30%,COUNTY,,,,,"(42.643426, -74.434606)"
31501,BROOME,Union-Endicott Central School District,NEW YORK - PENN,112,16.50%,120,17.70%,232,34.20%,SCHOOL DISTRICT,1100 E MAIN ST,ENDICOTT,NY,13760,"(42.0973, -76.0513)"
141800,ERIE,Lackawanna City Schools,WESTERN NEW YORK,107,24%,45,10.10%,152,34.20%,SCHOOL DISTRICT,245 S SHORE BLVD,LACKAWANNA,NY,14218,"(42.8257, -78.8104)"
58,SUFFOLK,Suffolk,NASSAU-SUFFOLK,7659,16.20%,8532,18%,16191,34.20%,COUNTY,,,,,"(40.820237, -73.119032)"
211901,HERKIMER,Town Of Webb Union Free School,CENTRAL NEW YORK,5,11.40%,10,22.70%,15,34.10%,SCHOOL DISTRICT,3002 MAIN ST,OLD FORGE,NY,13420,"(43.7408, -74.8993)"
431301,ONTARIO,Phelps-Clifton Springs Central School,FINGER LAKES,54,17.90%,49,16.20%,103,34.10%,SCHOOL DISTRICT,1490 RT 488,CLIFTON SPRINGS,NY,14432,"(42.961, -77.0964)"
510201,ST. LAWRENCE,Canton Central School,CENTRAL NEW YORK,53,17.20%,52,16.90%,105,34.10%,SCHOOL DISTRICT,99 STATE ST,CANTON,NY,13617,"(44.6056, -75.1678)"
15,ESSEX,Essex,NORTHEASTERN NEW YORK,108,15.80%,125,18.30%,233,34.10%,COUNTY,,,,,"(44.166026, -73.685145)"
171102,FULTON,Broadalbin-Perth Central Schools,NORTHEASTERN NEW YORK,31,13.20%,49,20.90%,80,34%,SCHOOL DISTRICT,20 PINE ST,BROADALBIN,NY,12025,"(43.0582, -74.1888)"
630300,WARREN,Glens Falls City Schools,NORTHEASTERN NEW YORK,52,16%,59,18.10%,111,34%,SCHOOL DISTRICT,15 QUADE ST,GLENS FALLS,NY,12801,"(43.3104, -73.6599)"
30501,BROOME,Harpursville Central School District,NEW YORK - PENN,38,15%,48,18.90%,86,33.90%,SCHOOL DISTRICT,54 MAIN ST,HARPURSVILLE,NY,13787,"(42.1817, -75.6229)"
70901,CHEMUNG,Horseheads Central School District,FINGER LAKES,54,17.30%,52,16.60%,106,33.90%,SCHOOL DISTRICT,1 RAIDER LN,HORSEHEADS,NY,14845,"(42.167, -76.8261)"
70902,CHEMUNG,Elmira Heights Central School District,FINGER LAKES,25,21.70%,14,12.20%,39,33.90%,SCHOOL DISTRICT,2083 COLLEGE AVE,ELMIRA HEIGHTS,NY,14903,"(42.1224, -76.8244)"
132201,DUTCHESS,Millbrook Central School,HUDSON VALLEY,27,15.30%,33,18.60%,60,33.90%,SCHOOL DISTRICT,43 ALDEN PL,MILLBROOK,NY,12545,"(41.7829, -73.6902)"
530501,SCHENECTADY,Schalmont Cent Sch-Rotterdam,NORTHEASTERN NEW YORK,75,19.40%,56,14.50%,131,33.90%,SCHOOL DISTRICT,401 DUANESBURG RD,SCHENECTADY,NY,12306,"(42.7878, -73.9922)"
40,NIAGARA,Niagara,WESTERN NEW YORK,1020,14.50%,1359,19.30%,2379,33.90%,COUNTY,,,,,"(43.134634, -78.856419)"
63,WARREN,Warren,NORTHEASTERN NEW YORK,296,17%,294,16.90%,590,33.90%,COUNTY,,,,,"(43.403024, -73.716044)"
1,ALBANY,Albany,NORTHEASTERN NEW YORK,799,17.20%,769,16.60%,1568,33.80%,COUNTY,,,,,"(42.678066, -73.814233)"
57,STEUBEN,Steuben,FINGER LAKES,485,16%,539,17.80%,1024,33.80%,COUNTY,,,,,"(42.270053, -77.324618)"
500000,N/A,New York - Penn,NEW YORK - PENN,1321,16.30%,1419,17.50%,2740,33.80%,REGION,,,,,
62201,CHAUTAUQUA,Fredonia Central School District,WESTERN NEW YORK,66,15.70%,76,18.10%,142,33.70%,SCHOOL DISTRICT,425 E MAIN ST,FREDONIA,NY,14063,"(42.4495, -79.3105)"
261801,MONROE,Brockport Central School,FINGER LAKES,114,16.60%,117,17.10%,231,33.70%,SCHOOL DISTRICT,40 ALLEN ST,BROCKPORT,NY,14420,"(43.208, -77.9459)"
500201,ROCKLAND,Haverstraw-Stoney Point Csd,HUDSON VALLEY,189,14.60%,247,19.10%,436,33.70%,SCHOOL DISTRICT,65 CHAPEL ST,GARNERVILLE,NY,10923,"(41.211, -73.9932)"
512902,ST. LAWRENCE,Potsdam Central School,CENTRAL NEW YORK,56,16.90%,56,16.90%,112,33.70%,SCHOOL DISTRICT,29 LEROY ST,POTSDAM,NY,13676,"(44.674, -74.9818)"
58,SUFFOLK,Suffolk,NASSAU-SUFFOLK,5406,16.90%,5352,16.80%,10758,33.70%,COUNTY,,,,,"(40.820237, -73.119032)"
181001,GENESEE,Le Roy Central School,WESTERN NEW YORK,54,17%,53,16.70%,107,33.60%,SCHOOL DISTRICT,2-6 TRIGON PARK,LE ROY,NY,14482,"(42.9777, -77.987)"
421902,ONONDAGA,Tully Central School,CENTRAL NEW YORK,17,12.70%,28,20.90%,45,33.60%,SCHOOL DISTRICT,20 STATE ST,TULLY,NY,13159,"(42.7965, -76.1104)"
441101,ORANGE,Minisink Valley Central School,HUDSON VALLEY,57,15.30%,68,18.30%,125,33.60%,SCHOOL DISTRICT,2320 RT 6,SLATE HILL,NY,10973,"(41.3874, -74.5075)"
472202,OTSEGO,Cherry Valley Springfield Cent School,NORTHEASTERN NEW YORK,21,16.80%,21,16.80%,42,33.60%,SCHOOL DISTRICT,597 COUNTY HWY 54,CHERRY VALLEY,NY,13320,"(42.8144, -74.7703)"
521401,SARATOGA,So Glens Falls Cent Sch,NORTHEASTERN NEW YORK,75,16.10%,82,17.60%,157,33.60%,SCHOOL DISTRICT,6 BLUEBIRD RD,SOUTH GLENS FALLS,NY,12803,"(43.2731, -73.6479)"
630902,WARREN,Queensbury Union Free School,NORTHEASTERN NEW YORK,131,18.20%,110,15.30%,241,33.60%,SCHOOL DISTRICT,429 AVIATION RD,QUEENSBURY,NY,12804,"(43.3294, -73.6913)"
10601,ALBANY,South Colonie Central School District,NORTHEASTERN NEW YORK,156,16.50%,161,17%,317,33.50%,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,NY,12205,"(42.7316, -73.8394)"
280410,NASSAU,Mineola Union Free School,NASSAU-SUFFOLK,83,15.50%,96,17.90%,179,33.50%,SCHOOL DISTRICT,121 JACKSON AVE,MINEOLA,NY,11501,"(40.7471, -73.6406)"
471400,OTSEGO,Oneonta City Schools,NORTHEASTERN NEW YORK,78,17.80%,69,15.70%,147,33.50%,SCHOOL DISTRICT,189 MAIN ST,ONEONTA,NY,13820,"(42.4539, -75.0626)"
300000,N/A,Hudson Valley,HUDSON VALLEY,6077,16.90%,5978,16.60%,12055,33.50%,REGION,,,,,
10100,ALBANY,Albany City School District,NORTHEASTERN NEW YORK,94,19.50%,67,13.90%,161,33.40%,SCHOOL DISTRICT,ACADEMY PARK,ALBANY,NY,12207,"(42.6535, -73.7547)"
42400,CATTARAUGUS,Olean City Schools,WESTERN NEW YORK,88,16.70%,88,16.70%,176,33.40%,SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,"(42.0815, -78.4344)"
440401,ORANGE,Pine Bush Central School,HUDSON VALLEY,88,14.60%,113,18.80%,201,33.40%,SCHOOL DISTRICT,156 RT 302,PINE BUSH,NY,12566,"(41.6013, -74.3067)"
571800,STEUBEN,Hornell City Schools,FINGER LAKES,53,13.90%,74,19.50%,127,33.40%,SCHOOL DISTRICT,25 PEARL ST,HORNELL,NY,14843,"(42.3265, -77.6545)"
22,JEFFERSON,Jefferson,CENTRAL NEW YORK,548,16.70%,549,16.70%,1097,33.40%,COUNTY,,,,,"(44.019295, -75.898971)"
140703,ERIE,Cleveland Hill Union Free School,WESTERN NEW YORK,53,17.80%,46,15.50%,99,33.30%,SCHOOL DISTRICT,105 MAPLEVIEW RD,CHEEKTOWAGA,NY,14225,"(42.9417, -78.7831)"
151501,ESSEX,Ticonderoga Central School,NORTHEASTERN NEW YORK,18,12.20%,31,21.10%,49,33.30%,SCHOOL DISTRICT,5 CALKINS PL,TICONDEROGA,NY,12883,"(43.8417, -73.4281)"
