LOCATION CODE,COUNTY,AREA NAME,REGION,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
511301,ST. LAWRENCE,Hermon Dekalb Central School,CENTRAL NEW YORK,6,10.70%,17,30.40%,23,41.10%,SCHOOL DISTRICT,709 E DEKALB RD,DEKALB JUNCTION,NY,13630,"(44.4835, -75.3037)"
181201,GENESEE,Pavilion Central School,WESTERN NEW YORK,35,24.30%,24,16.70%,59,41%,SCHOOL DISTRICT,7014 BIG TREE RD,PAVILION,NY,14525,"(42.8732, -78.0192)"
580301,SUFFOLK,East Hampton Union Free School,NASSAU-SUFFOLK,44,17.50%,59,23.50%,103,41%,SCHOOL DISTRICT,231 PANTIGO RD,EAST HAMPTON,NY,11937,"(40.9679, -72.1691)"
110901,CORTLAND,Marathon Central School District,CENTRAL NEW YORK,20,18.20%,25,22.70%,45,40.90%,SCHOOL DISTRICT,1 E MAIN ST,MARATHON,NY,13803,"(42.4418, -76.0327)"
210402,HERKIMER,Frankfort Schuyler Central School,CENTRAL NEW YORK,16,18.20%,20,22.70%,36,40.90%,SCHOOL DISTRICT,605 PALMER ST,FRANKFORT,NY,13340,"(43.0312, -75.0727)"
512501,ST. LAWRENCE,Parishvl Hopkinton Cent Sch,CENTRAL NEW YORK,22,16.10%,34,24.80%,56,40.90%,SCHOOL DISTRICT,12 COUNTY RT 47,PARISHVILLE,NY,13672,"(44.5787, -74.7725)"
580306,SUFFOLK,Montauk Union Free School,NASSAU-SUFFOLK,29,19.50%,32,21.50%,61,40.90%,SCHOOL DISTRICT,50 S DORSET DR,MONTAUK,NY,11954,"(41.0359, -71.9593)"
82001,CHENANGO,Sherburne Earlville Central School District,NEW YORK - PENN,52,17%,72,23.60%,124,40.70%,SCHOOL DISTRICT,15 SCHOOL ST,SHERBURNE,NY,13460,"(42.6886, -75.5007)"
4,CATTARAUGUS,Cattaraugus,WESTERN NEW YORK,380,19.40%,416,21.30%,796,40.70%,COUNTY,,,,,"(42.224267, -78.606673)"
19,GREENE,Greene,NORTHEASTERN NEW YORK,147,16.70%,212,24%,359,40.70%,COUNTY,,,,,"(42.298326, -73.973376)"
21,HERKIMER,Herkimer,CENTRAL NEW YORK,276,21.40%,249,19.30%,525,40.70%,COUNTY,,,,,"(43.070026, -74.994246)"
280230,NASSAU,Valley Str Hemp 30 U F S,NASSAU-SUFFOLK,77,16.60%,112,24.10%,189,40.60%,SCHOOL DISTRICT,175 N CENTRAL AVE,VALLEY STREAM,NY,11580,"(40.6727, -73.7095)"
591201,SULLIVAN,Tri Valley Central School,HUDSON VALLEY,24,19%,27,21.40%,51,40.50%,SCHOOL DISTRICT,34 MOORE HILL RD,GRAHAMSVILLE,NY,12740,"(41.85, -74.538)"
400601,NIAGARA,Newfane Central School,WESTERN NEW YORK,48,16.20%,72,24.20%,120,40.40%,SCHOOL DISTRICT,6048 GODFREY RD,BURT,NY,14028,"(43.3232, -78.7089)"
510401,ST. LAWRENCE,Clifton Fine Central School District,CENTRAL NEW YORK,19,20.20%,19,20.20%,38,40.40%,SCHOOL DISTRICT,11 HALL AVE,STAR LAKE,NY,13690,"(44.16, -75.0387)"
51,ST. LAWRENCE,St. Lawrence,CENTRAL NEW YORK,642,18.40%,766,22%,1408,40.40%,COUNTY,,,,,"(44.689468, -75.242045)"
151701,ESSEX,Willsboro Central School,NORTHEASTERN NEW YORK,6,9.70%,19,30.60%,25,40.30%,SCHOOL DISTRICT,29 SCHOOL LN,WILLSBORO,NY,12996,"(44.3746, -73.3941)"
220909,JEFFERSON,Belleville Henderson Central,CENTRAL NEW YORK,26,18.10%,32,22.20%,58,40.30%,SCHOOL DISTRICT,8372 COUNTY RT 75,BELLEVILLE,NY,13611,"(43.7877, -76.1348)"
